"Year","Algeria","Maghreb_union","Arab_world","European_Union","The_World"
"1990","0","0","0","0.066858554","0.048824693"
"1991","0","0","0","0.145456993","0.078810516"
"1992","0","0","0","0.27223781","0.125186329"
"1993","0","0","0.000864634","0.415227505","0.17900668"
"1994","0.000360674","0.001548044","0.002877601","0.785176807","0.360508149"
"1995","0.001768954","0.00333428","0.014685669","1.514385168","0.683082061"
"1996","0.001738533","0.00700587","0.040272767","2.623168721","1.326567158"
"1997","0.010268463","0.015946633","0.14194828","4.799629442","2.042697058"
"1998","0.020238555","0.062215015","0.283811604","7.688772945","3.140579598"
"1999","0.199523843","0.445939141","0.644800202","13.63300954","4.632902784"
"2000","0.491705679","0.86306226","1.217056416","19.65639786","6.743719512"
"2001","0.646114017","1.388699976","1.639957054","24.13630274","8.053555973"
"2002","1.59164126","2.365085877","2.797822049","32.13461194","10.51852842"
"2003","2.195359731","3.055619018","3.770378137","38.60230629","12.19585459"
"2004","4.634475088","5.757107242","7.250127318","44.18301948","14.08181857"
"2005","5.843942092","7.034245521","8.614729946","48.29663685","15.67466147"
"2006","7.375984956","9.082859644","11.58934867","52.60790269","17.42642072"
"2007","9.451190626","10.84136064","14.35376904","58.2925271","20.35453685"
"2008","10.18","16.336","18.55654098","62.2982306","23.0068355"
"2009","11.23","19.936","21.50849307","65.08133081","25.56000526"
"2010","12.5","23.86","25.68097262","68.7339429","28.79765308"
"2011","14.9","23.72149652","27.5480358","69.63482113","31.21196509"
"2012","18.2","27.05153064","30.79548733","71.82858796","33.71336143"
"2013","22.5","29","33.9101317","73.58759652","35.64925752"
"2014","29.5","32.404","37.65595005","75.17094681","37.88078097"
"2015","38.2","35.42799874","41.38161705","75.65872019","40.27005864"
"2016","42.94552688","38.53535163","41.52919557","76.90997416","43.21598024"
"2017","47.69105515","41.38268444","46.66467625","78.70269005","45.54307318"
"2018","49.03846808","46.1786287","53.19819117","81.74182058","49.15756321"
"2019","58.97757455","53.97572373","60.73102916","82.75181603","53.74888437"
"2020","63.94999611","58.43096891","66.44035486","84.76983609","59.56913844"
"2021","70.77","62.88163213","76.30907665","86.9709406","63.0713483"
